page;2019-02 pi;2019-02 v;2019-03 pi;2019-03 v;2019-04 pi;2019-04 v;2019-05 pi;2019-05 v;2019-06 pi;2019-06 v;2019-07 pi;2019-07 v;2019-08 pi;2019-08 v;2019-09 pi;2019-09 v;2019-10 pi;2019-10 v;2019-11 pi;2019-11 v;2019-12 pi;2019-12 v;2020-01 pi;2020-01 v;2020-02 pi;2020-02 v;2020-03 pi;2020-03 v;2020-04 pi;2020-04 v;2020-05 pi;2020-05 v;2020-06 pi;2020-06 v;2020-07 pi;2020-07 v;2020-08 pi;2020-08 v;2020-09 pi;2020-09 v;2020-10 pi;2020-10 v;2020-11 pi;2020-11 v;2020-12 pi;2020-12 v;2021-01 pi;2021-01 v;2021-02 pi;2021-02 v;2021-03 pi;2021-03 v;2021-04 pi;2021-04 v;2021-05 pi;2021-05 v;2021-06 pi;2021-06 v;2021-07 pi;2021-07 v;2021-08 pi;2021-08 v;2021-09 pi;2021-09 v;2021-10 pi;2021-10 v;2021-11 pi;2021-11 v;2021-12 pi;2021-12 v;2022-01 pi;2022-01 v;2022-02 pi;2022-02 v;2022-03 pi;2022-03 v;2022-04 pi;2022-04 v;2022-05 pi;2022-05 v;2022-06 pi;2022-06 v;2022-07 pi;2022-07 v;2022-08 pi;2022-08 v;2022-09 pi;2022-09 v;2022-10 pi;2022-10 v
wohnfläche-2014-lor-v-2-wms;9;9;5;4;;;6;6;;;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
wohndauer-der-einwohnerinnen-berlin-am-31122012-nach-lor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-der-einwohner-berlin-am-31122011-nach-lor;;;;;;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-der-einwohner-berlin-am-31122010-nach-lor-;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;2;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-der-einwohner-berlin-am-31122010-nach-lor;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-der-einwohner-berlin-am-31122009-nach-lor-planungsräumen;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-der-einwohner-berlin-am-31122007-nach-lor-;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-der-einwohner-berlin-am-31122007-nach-lor;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;1;1;;;;;;;;;;;;
wohndauer-über-5-jahre-2018-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;2;2;;;;;;;;
wohndauer-über-5-jahre-2018-v2-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;
wohndauer-über-5-jahre-2016-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;
wohndauer-über-5-jahre-2014-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-über-5-jahre-2014-lor-wms;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohndauer-über-5-jahre-2014-lor-v-2-wms;;;2;2;1;1;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2020-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;2;2
wohnatlas-berlin-wohnungsverkäufe-2017-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;2;1;;;;;;;;;2;2;1;1;2;1;;;1;1;1;1;;;;;;;;;;;1;1;;;4;3;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;1;1;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2015-2020-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2012-2017-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;3;3;;;1;1;;;;;1;1;;;;;;;2;2;;;3;2;;;;;;;;;;;;;;;2;2;;;1;1;;;2;1;;;;;;;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2010-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2005-2010-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2005-2010-pro-1000-wohnungen;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2004-2009-pro-1000-wohnungen-wms-3;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-wohnungsverkäufe-2004-2009-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-veränderung-d-anzahl-d-leistungsempf-nach-sgb-ii-2015-2020-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;3;3;2;2;;;5;5;;;1;1;1;1;;;;;1;1
wohnatlas-berlin-veränderung-d-anzahl-d-leistungsempf-nach-sgb-ii-2012-2017-wms;;;;;;;;;;;;;1;1;;;;;1;1;1;1;4;4;2;2;1;1;;;2;1;1;1;;;;;1;1;;;1;1;;;3;2;1;1;1;1;3;1;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-veränderung-d-anzahl-d-leistungsempf-nach-sgb-ii-2006-2009-wms-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-veränderung-d-anzahl-d-leistungsempf-nach-sgb-ii-2006-2009-wms;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-umgewandelte-wohnungen-2020-von-miet-eigentumswohnungen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;1;1;1;1;;;;;;;;
wohnatlas-berlin-umgewandelte-wohnungen-2017-von-miet-eigentumswohnungen-wms;;;;;;;;;;;;;;;1;1;;;1;1;1;1;2;1;1;1;2;2;1;1;1;1;;;;;;;1;1;;;1;1;;;;;;;2;2;3;3;1;1;;;;;1;1;2;1;;;2;1;;;1;1;;;;;1;1;1;1;;;;;1;1;;;;
wohnatlas-berlin-umgewandelte-wohnungen-2015-2020-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;1;;;;;;;;;;
wohnatlas-berlin-umgewandelte-wohnungen-2012-2017-pro-1000-wohnungen-wms;;;;;;;;;;;;;2;2;1;1;;;2;1;1;1;1;1;;;;;1;1;;;5;5;5;2;;;;;2;1;;;1;1;;;;;1;1;;;1;1;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;1;1;;;;;;
wohnatlas-berlin-umgewandelte-wohnungen-2010-pro-1000-wohnungen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;
wohnatlas-berlin-umgewandelte-wohnungen-2009-pro-1000-wohnungen-wms-2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-umgewandelte-wohnungen-2005-2010-pro-1000-wohnungen-wms-2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-prozentuale-veränderungen-der-einwohnerzahlen-2015-2020-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;6;6;1;1;2;2;2;2;4;2;;;3;3;2;2;2;2;1;1
wohnatlas-berlin-prozentuale-veränderungen-der-einwohnerzahlen-2013-2018-wms;;;;;;;;;;;;;;;4;3;2;2;1;1;2;1;5;5;6;5;11;9;8;6;9;8;3;3;2;2;7;4;3;2;3;3;2;2;;;8;7;1;1;3;3;;;2;2;2;2;2;2;;;;;;;1;1;;;;;;;1;1;2;1;4;3;;;1;1;;;;;1;1
wohnatlas-berlin-prozentuale-veränderungen-der-einwohnerzahlen-2005-2010-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
wohnatlas-berlin-prozentuale-veränderungen-der-einwohnerzahlen-2005-2010;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-prozentuale-veränderungen-der-einwohnerzahlen-2004-2009-wms-2;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;2;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-prozentuale-veränderungen-der-einwohnerzahlen-2004-2009-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
wohnatlas-berlin-belegungsdichte-2009-wms-3;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;2;2;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-belegungsdichte-2009-wms;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;;
wohnatlas-berlin-anteile-der-leistungsempfänger-nach-sozialgesetzbuch-ii-2009-wms-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteile-der-leistungsempfänger-nach-sozialgesetzbuch-ii-2009-wms;;;;;1;1;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-städt-wohnungsbaugesell-am-wohnungsbestand-2020-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;1;1;;;;;;;2;2;;;;;;;;
wohnatlas-berlin-anteil-städt-wohnungsbaugesell-am-wohnungsbestand-2017-wms;;;;;;;;;;;;;;;1;1;3;2;1;1;;;;;;;1;1;1;1;1;1;;;1;1;;;;;1;1;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-städt-wohnungsbaugesell-am-wohnungsbestand-2008-wms-2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-städt-wohnungsbaugesell-am-wohnungsbestand-2008-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-sozialmietwohnungen-am-wohnungsbestand-2020-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
wohnatlas-berlin-anteil-sozialmietwohnungen-am-wohnungsbestand-2017-wms;;;;;;;;;;;;;;;;;3;3;1;1;2;2;;;1;1;;;;;;;;;1;1;;;1;1;1;1;1;1;;;2;2;;;7;5;1;1;2;2;;;;;5;4;;;1;1;;;;;;;1;1;;;;;;;2;2;1;1;;;;;;
wohnatlas-berlin-anteil-sozialmietwohnungen-am-wohnungsbestand-2010-wms-0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-einwohner-mit-mind-5-jähriger-wohndauer-am-31122020-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;5;1;1;2;2;;;;;;;2;2;;;;;;
wohnatlas-berlin-anteil-einwohner-mit-mind-5-jähriger-wohndauer-31122018-wms;;;;;;;;;;;;;3;3;1;1;3;3;7;7;7;5;4;4;4;3;3;3;2;2;;;4;4;4;4;;;1;1;;;1;1;1;1;;;;;2;1;1;1;2;2;;;2;2;;;;;2;2;;;;;3;3;;;2;2;;;;;1;1;;;;;;;;
wohnatlas-berlin-anteil-der-leistungsempf-nach-sgb-ii-2020-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;3;2;2;2;5;4;;;;;1;1;;;4;4;2;2
wohnatlas-berlin-anteil-der-leistungsempf-nach-sgb-ii-2017-wms;;;;;;;;;;;;;4;4;5;5;4;3;7;7;1;1;16;14;3;3;3;3;3;3;1;1;4;4;1;1;2;1;4;3;2;2;3;1;3;3;3;2;1;1;2;2;7;7;2;2;3;2;1;1;;;;;;;1;1;;;4;4;;;2;2;3;3;9;8;3;3;6;4;10;7;9;6;1;1
wohnatlas-berlin-anteil-der-einwohner-mit-mind-einjähriger-wohndauer-2010-wms-2;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;;;;;2;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-der-einwohner-mit-mind-einjähriger-wohndauer-2010-wms;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-der-einwohner-mit-mind-5-jähriger-wohndauer-2005-2010-wms;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-anteil-der-einwohner-mit-mind-5-jähriger-wohndauer-2005-2010;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-angebotsmieten-2020-eurm²-monatlich-netto-kalt-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;5;4;4;4;4;1;1;3;3;9;7;1;1;4;4;1;1;5;4;3;3
wohnatlas-berlin-angebotsmieten-2018-eurm²-monatlich-netto-kalt-wms;;;;;;;;;;;;;1;1;1;1;4;4;6;3;3;3;8;7;;;1;1;3;3;;;2;2;;;13;5;2;1;;;1;1;4;2;;;2;2;15;13;;;2;2;5;5;4;2;;;6;4;4;4;7;6;2;1;3;2;5;3;2;2;;;2;2;;;;;;;;;1;1
wohnatlas-berlin-angebotsmieten-20092010-wms-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-angebotsmieten-20092010-wms;1;1;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;;;;;;;;
wohnatlas-berlin-angebotsmieten-20082009-wms-2;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-angebotsmieten-20082009-wms;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;;;;;2;2;;;3;2;;;;;;
wohnatlas-berlin-2020-daten-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;1;1;3;3;1;1;3;3;6;4;2;2;3;3;;;1;1;1;1
wohnatlas-berlin-2019-daten-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;1;1;3;2;1;1;1;1;2;2;3;2;;;;;1;1;1;1
wohnatlas-berlin-2012-anteil-sozialmietwohnungen-am-wohnungsbestand-2010-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-2012-anteil-sozialmietwohnungen-am-wohnungsbestand-2010;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-2011-daten-wfs-0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;1;2;1;;;;;;;;;;;;;7;6;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-2011-daten-wfs;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;2;2;;;;;;;;;1;1;;;;;;;;;;;;;3;3;;;2;1
wohnatlas-berlin-2010-daten-wfs-0;;;;;;;;;;;;;;;;;2;2;;;;;;;1;1;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnatlas-berlin-2010-daten-wfs;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;2;2;;;;;1;1;;;;;;
wohnatlas-2019-daten-wfs;;;;;;;;;;;;;4;4;11;9;19;17;18;16;12;12;26;25;24;23;36;35;36;34;34;29;19;17;15;11;37;19;20;12;6;6;8;8;14;10;3;3;4;3;10;7;1;1;9;8;3;3;5;5;8;5;3;3;2;2;;;;;;;;;;;;;4;4;;;;;;;;;;
wochen-und-trödelmärkte-0;21;16;14;12;26;25;32;31;9;9;33;23;6;6;10;10;7;5;17;14;6;6;31;27;58;55;24;20;11;9;22;22;19;19;17;13;16;7;30;10;9;8;6;5;3;3;2;2;6;5;1;1;13;8;;;;;;;4;1;34;16;4;4;;;8;6;3;2;;;5;4;5;1;1;1;4;2;3;2;;;;;4;4
wochen-und-trödelmärkte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;7;7;7;6;;;4;4;;;1;1;12;9;5;5;8;8;21;17;5;5;6;5;8;8;5;3;6;6;12;10;15;12;24;24;23;22
wlan5standorte5berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wlan-standorte-berlinWLAN-Standorte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
wirtschaftskennziffern-für-die-einzelnen-teilmärkte;2;2;1;1;3;3;2;1;1;1;;;;;;;;;3;3;1;1;3;3;;;;;2;1;1;1;;;;;2;1;;;;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;;;;;;;1;1
winterspiel-und-bewegungsangebote-berlin-mitte;;;;;;;;;;;;;;;;;43;33;62;58;20;19;15;12;1;1;10;9;2;2;13;8;;;;;1;1;;;;;;;;;;;;;;;1;1;1;1;;;3;3;3;3;6;4;5;5;6;6;4;4;9;8;8;6;4;2;;;;;;;;;;;;;;
winterspiel-und-bewegungsangebote-berlin-mitt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
winterkorn;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
windkraft-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;4;3;;;2;2;;;;;;;1;1;;;3;3;1;1;1;1;3;2;3;2;;;3;3;;;;;1;1;2;2;;;1;1;5;4;;;;;;;1;1;;;;;;
windkraft-stromeinspeisung-der-windkraftanlagen-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
windkraft-standorte-der-windkraftanlagen-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;2;2;4;4;3;3;4;2;;;;;;;2;1;;;2;1;3;3;1;1;;;3;2;2;2;5;2;1;1;;;2;2;3;2;1;1;1;1;2;2;1;1;2;2;3;3;;;;;1;1;3;3
windenergieanlagen-berlin-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;12;4;4;1;1;4;4;1;1;4;4;3;3;1;1;;;4;3;4;4
windenergieanlagen-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;5;;;;;;;;;;;;;;;;;;;;
weihnachtsmärkte;4;4;6;6;2;2;;;;;6;6;1;1;4;3;2;2;20;17;6;6;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webatlas-berlin-wms-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
